ID: 70	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 50	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 87	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 25	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 12	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 51	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 88	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 53	, AMBAS: 1	 ETX: 1	, EMM: 0 
ID: 7	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 58	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 100	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 98	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 90	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 51	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 56	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 89	, AMBAS: 0	 ETX: 3	, EMM: 1 
ID: 95	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 28	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 21	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 67	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 23	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 86	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 53	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 72	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 55	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 76	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 57	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 33	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 63	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 27	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 68	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 84	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 45	, AMBAS: 1	 ETX: 1	, EMM: 0 
ID: 70	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 98	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 56	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 58	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 67	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 42	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 45	, AMBAS: 2	 ETX: 1	, EMM: 0 
ID: 45	, AMBAS: 3	 ETX: 1	, EMM: 0 
ID: 53	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 86	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 84	, AMBAS: 1	 ETX: 1	, EMM: 0 
ID: 4	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 67	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 70	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 63	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 84	, AMBAS: 2	 ETX: 1	, EMM: 0 
ID: 48	, AMBAS: 1	 ETX: 1	, EMM: 0 
ID: 20	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 88	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 84	, AMBAS: 3	 ETX: 1	, EMM: 0 
ID: 30	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 84	, AMBAS: 4	 ETX: 1	, EMM: 0 
ID: 62	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 98	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 87	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 84	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 30	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 30	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 82	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 21	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 82	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 62	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 82	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 88	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 80	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 18	, AMBAS: 0	 ETX: 3	, EMM: 1 
ID: 82	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 86	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 8	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 32	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 18	, AMBAS: 0	 ETX: 4	, EMM: 1 
ID: 82	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 94	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 47	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 32	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 97	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 18	, AMBAS: 0	 ETX: 5	, EMM: 1 
ID: 40	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 82	, AMBAS: 6	 ETX: 2	, EMM: 0 
ID: 40	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 35	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 31	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 18	, AMBAS: 0	 ETX: 6	, EMM: 1 
ID: 29	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 47	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 29	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 35	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 58	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 18	, AMBAS: 1	 ETX: 6	, EMM: 1 
ID: 31	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 96	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 35	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 32	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 46	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 35	, AMBAS: 3	 ETX: 1	, EMM: 0 
ID: 55	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 55	, AMBAS: 1	 ETX: 4	, EMM: 0 
ID: 18	, AMBAS: 2	 ETX: 6	, EMM: 1 
ID: 20	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 96	, AMBAS: 2	 ETX: 3	, EMM: 0 
ID: 44	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 93	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 6	, AMBAS: 0	 ETX: 2	, EMM: 0 
ID: 63	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 35	, AMBAS: 4	 ETX: 1	, EMM: 0 
ID: 20	, AMBAS: 0	 ETX: 6	, EMM: 0 
ID: 31	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 57	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 48	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 89	, AMBAS: 0	 ETX: 4	, EMM: 1 
ID: 22	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 93	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 96	, AMBAS: 3	 ETX: 3	, EMM: 0 
ID: 31	, AMBAS: 3	 ETX: 1	, EMM: 0 
ID: 3	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 63	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 20	, AMBAS: 0	 ETX: 6	, EMM: 1 
ID: 93	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 60	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 55	, AMBAS: 2	 ETX: 4	, EMM: 0 
ID: 3	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 32	, AMBAS: 1	 ETX: 5	, EMM: 0 
ID: 63	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 45	, AMBAS: 4	 ETX: 1	, EMM: 0 
ID: 51	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 37	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 20	, AMBAS: 0	 ETX: 7	, EMM: 1 
ID: 82	, AMBAS: 7	 ETX: 2	, EMM: 0 
ID: 96	, AMBAS: 4	 ETX: 3	, EMM: 0 
ID: 60	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 30	, AMBAS: 1	 ETX: 5	, EMM: 0 
ID: 55	, AMBAS: 3	 ETX: 4	, EMM: 0 
ID: 82	, AMBAS: 8	 ETX: 2	, EMM: 0 
ID: 32	, AMBAS: 2	 ETX: 5	, EMM: 0 
ID: 3	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 51	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 45	, AMBAS: 5	 ETX: 1	, EMM: 0 
ID: 37	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 63	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 43	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 96	, AMBAS: 5	 ETX: 3	, EMM: 0 
ID: 24	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 80	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 60	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 30	, AMBAS: 2	 ETX: 5	, EMM: 0 
ID: 82	, AMBAS: 9	 ETX: 2	, EMM: 0 
ID: 51	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 27	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 43	, AMBAS: 2	 ETX: 3	, EMM: 0 
ID: 90	, AMBAS: 0	 ETX: 3	, EMM: 0 
