1.0	0	0	0	0.0	0.0	0.0	0	0	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0	0	0
2.0	10	0	67	1.4	41.3	4.7625	5	1014400	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	2280000	272000	5376000
3.0	7	0	36	1.2857142857142858	46.285714285714285	3.357142857142857	2	330285	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	1801857	1233000	4463000
4.0	5	0	69	2.6	68.8	1.0	3	623200	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	4393400	1832000	14692000
5.0	10	0	74	1.4	36.0	4.1	6	147200	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	2489600	286000	6928000
6.0	11	0	65	1.5454545454545454	34.18181818181818	2.3636363636363638	3	665818	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	2047636	266000	7193000
7.0	3	0	77	1.6666666666666667	53.333333333333336	6.0	1	389333	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	7894666	4794000	18890000
8.0	8	0	68	1.5	68.875	6.109375	5	204500	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	2811750	593000	5656000
9.0	10	0	62	1.6	12.8	1.0	4	483200	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	2124900	248000	5406000
10.0	12	0	62	1.0833333333333333	19.333333333333332	2.25	3	1178666	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	1827083	251000	8385000
11.0	7	0	31	1.2857142857142858	45.714285714285715	5.285714285714286	2	1507428	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	1579428	276000	3910000
12.0	6	0	70	1.6666666666666667	53.333333333333336	3.5	3	260000	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	3758833	312000	11115000
13.0	9	0	72	1.5555555555555556	25.77777777777778	2.6666666666666665	5	1668444	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	2662888	272000	8151000
